num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,SP
00159222B10008778,00159221310081721,*,2001000,00159221310081721,20221401  121M2  630,363000.0,013022100834,1991141040001000017,01
00159222B10008779,00159221310085846,000B85711828,2002300,00159221310085846,20221401  121M2  630,363000.0,013022100834,1991141040001000017,01
00159222B10008780,00159221310009010,*,2001000,00159221310009010,20221401  121M2  630,4.0,101000000166,1991141040004000069,01
00159222B10008781,00159221310057742,000B88022793,2002300,00159221310057742,20221401  121M2  630,4.0,013022100187,1991141040004000069,01
00159222B10008782,00159221310097634,*,2001000,00159221310097634,20221401  121M2  630,3290.0,013022100968,1991141040004000085,01
00159222B10008783,00159221310108747,000B14404065,2002300,00159221310108747,20221401  121M2  630,3290.0,013022100968,1991141040004000085,01
00159222B10008784,00159221310040689,*,2001000,00159221310040689,20221401  121M2  660,386493.0,101000004013,1992140040005000281,01
00159222B10008785,00159221310060067,000B84851278,2002300,00159221310060067,20221401  121M2  660,386493.0,013022100540,1992140040005000281,01
00159222B10008786,00159221310015165,*,2001000,00159221310015165,20221401  121M2  660,1.0,101000001282,1998140042101001072,01
00159222B10008787,00159221310019017,000B72075922,2002300,00159221310019017,20221401  121M2  660,1.0,101000001573,1998140042101001072,01
00159222B10008788,00159221310025034,*,2001000,00159221310025034,20221401  312A1  660,1.0,101000002285,2002140010001001796,01
00159222B10008789,00159221310072668,000B81171118,2002300,00159221310072668,20221401  312A1  660,1.0,013062100053,2002140010001001796,01
00159222B10008790,00159221310025864,*,2001000,00159221310025864,20221401  312A1  660,48400.0,101000002376,2002140010001001797,01
00159222B10008791,00159221310045344,000B80419922,2002300,00159221310045344,20221401  312A1  660,48400.0,013052100237,2002140010001001797,01
00159222B10008792,00159221310028215,*,2001000,00159221310028215,20221401  312A1  660,1.0,101000002549,2002140010001001803,01
00159222B10008793,00159221310030052,000B82565136,2002300,00159221310030052,20221401  312A1  660,1.0,101000002647,2002140010001001803,01
00159222B10008794,00159221310031485,*,2001000,00159221310031485,20221401  312A1  660,1.0,101000002781,2002140010001001823,01
00159222B10008795,00159221310040682,000B83510537,2002300,00159221310040682,20221401  312A1  660,1.0,101000004035,2002140010001001823,01
00159222B10008796,00159221310035725,*,2001000,00159221310035725,20221401  312A1  660,1.0,101000003330,2002140010001001851,01
00159222B10008797,00159221310038398,000B58521147,2002300,00159221310038398,20221401  312A1  660,1.0,101000003736,2002140010001001851,01
00159222B10008798,00159221310035988,*,2001000,00159221310035988,20221401  312A1  660,1.0,101000003424,2002140010001001854,01
00159222B10008799,00159221310038313,00011808062T,2002300,00159221310038313,20221401  312A1  660,1.0,101000003685,2002140010001001854,01
00159222B10008800,00159221310039015,*,2001000,00159221310039015,20221401  312A1  660,20.0,101000003762,2002140010001001865,01
00159222B10008801,00159221310042785,000B86029311,2002300,00159221310042785,20221401  312A1  660,20.0,101000003762,2002140010001001865,01
00159222B10008802,00159221310039017,*,2001000,00159221310039017,20221401  312A1  660,1.0,101000003764,2002140010001001867,01
00159222B10008803,00159221310067734,000B28954170,2002300,00159221310067734,20221401  312A1  660,1.0,013032100170,2002140010001001867,01
00159222B10008804,00159221310039037,*,2001000,00159221310039037,20221401  312A1  660,45.0,101000003810,2002140010001001875,01
00159222B10008805,00159221310042784,000B81933830,2002300,00159221310042784,20221401  312A1  660,45.0,101000003810,2002140010001001875,01
